,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
47,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Fordham Men's Basketball Office,40.85817002082401,-73.89057771545359,College Gym
48,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,McGinley Fitness Center,40.8623374773037,-73.88449727987287,College Gym
49,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Riverdale Country School Gym,40.899406,-73.898835,College Gym
50,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,187 Fitness,40.857155774418864,-73.93233937340612,Gym
51,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,St. James Recreation Center,40.8647161304083,-73.89901033404219,Athletics & Sports
52,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Old Gym Building - Lehman College,40.87219552416185,-73.89512523441805,College Academic Building
53,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Lehman College,40.87361030908704,-73.8936996459961,University
54,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Walton High School,40.87058752767187,-73.8967558846264,High School
55,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Instructional Support Services Program (ISSP): Academic Center for Excellence (ACE) at Lehman College,40.872036,-73.894753,Student Center
56,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,One Yoga For All,40.880527,-73.910067,Yoga Studio
57,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Summer Season Yoga,40.873102,-73.919715,Yoga Studio
58,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,"East Coast United Brazilian Jiu Jitsu , MMA & Yoga",40.88379203459271,-73.90157311326138,Martial Arts Dojo
59,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Bronx Boxing,40.8756708933038,-73.90835523605347,Boxing Gym
60,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,KARATE & AIKI-JITSU ACADEMY,40.86587037665674,-73.90058755874634,Martial Arts Dojo
61,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Fordham University - Rose Hill,40.86104058171309,-73.88549034034486,University
62,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Dagger John's,40.86282547174799,-73.88395451624349,College Cafeteria
63,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,The Colonel Francis B. Messmore Aquatics Center,40.86264542707983,-73.88247511176344,Gym Pool
64,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Pilates Reforming New York - 214th & Broadway,40.86897541481417,-73.91648769378662,Pilates Studio
65,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Pilates Reforming New York,40.86850948223649,-73.91764712313444,Pilates Studio
66,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,DRS2HEALTH® Holistic Doctors,40.8783,-73.88061,Alternative Healer
67,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Van Cortlandt Park Running Track,40.88834126500967,-73.89764785766602,Track
68,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox SoHo,40.72397271279325,-73.9970421147778,Gym
69,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Manny Cantor Center,40.714085757381774,-73.98842207684685,Gym / Fitness Center
70,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Ludlow Fitness,40.71888145043661,-73.98895495410055,Gym
71,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Wall Street,40.70727326752029,-74.01054311858566,Gym
