,Unnamed: 0,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
327,341,Manhattan,Chinatown,40.715618422314364,-73.99427936255984,Bowery CrossFit,40.71781226812158,-73.99262371362899,285 Grand St,281,10002.0,Manhattan,NY,Gym
341,360,Manhattan,Central Harlem,40.81597606742418,-73.94321112603912,CrossFit Harlem - Afrobrutality Sports,40.81775014717567,-73.93775306423404,,500,,Manhattan,NY,Gym
342,361,Manhattan,Central Harlem,40.81597606742418,-73.94321112603912,Harlem CrossFit,40.81719356788496,-73.93513753753649,,693,10037.0,Manhattan,NY,Gym
345,364,Manhattan,East Harlem,40.792249466630366,-73.94418223148531,Crossfit Metropolis,40.78820597637237,-73.94869510882322,156 E 100th St,589,10029.0,Manhattan,NY,Gym
389,427,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,CrossFit SPOT,40.772150921164815,-73.98610786931728,"55 Amsterdam Ave, New York, NY",166,10023.0,Manhattan,NY,Gym / Fitness Center
390,428,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,Crossfit NYC - Upper West Side,40.77441561462417,-73.98109653863573,157 Columbus Ave,370,10023.0,Manhattan,NY,Gym
393,435,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,UWS CrossFit,40.77898642336577,-73.98508910271165,371 Amsterdam Ave,607,10023.0,Manhattan,NY,Athletics & Sports
394,436,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,Crossfit Fifth Ave,40.750642,-73.983243,420 5th Ave,2553,10018.0,Manhattan,NY,Gym
398,441,Manhattan,Clinton,40.7583336869064,-73.99640768221386,Crossfit Hell's Kitchen,40.75385542742043,-73.99338177687183,315 W 36th St,560,10018.0,Manhattan,NY,Gym
406,469,Manhattan,Murray Hill,40.748303077252224,-73.97833207924134,CrossFit Solace,40.746171501152894,-73.98316437956309,38 E 32nd St,471,10016.0,Manhattan,NY,Gym / Fitness Center
425,514,Manhattan,East Village,40.72784677727029,-73.98222616506425,CrossFit East River,40.7254434939673,-73.97846140631547,647 E 9th St,415,10009.0,Manhattan,NY,Gym / Fitness Center
453,554,Manhattan,Tribeca,40.72152196744325,-74.01068328559093,Crossfit 212 NoHo,40.72704890296336,-73.99511692734373,666 Broadway,1450,10012.0,Manhattan,NY,Gym
461,565,Manhattan,Tribeca,40.72152196744325,-74.01068328559093,Crossfit USQ,40.73905820968693,-73.99303183011946,,2455,,Manhattan,NY,Gym
463,567,Manhattan,Tribeca,40.72152196744325,-74.01068328559093,Infighting Shape CrossFit,40.73976494179696,-73.99270471561262,22 W 19th St,2534,10011.0,Manhattan,NY,Athletics & Sports
506,639,Manhattan,Financial District,40.707107107270524,-74.01066544521277,Crossfit Wall Street,40.70554386423745,-74.01213909064103,60 New St,213,10004.0,Manhattan,NY,Gym
513,647,Manhattan,Financial District,40.707107107270524,-74.01066544521277,CrossFit 212 FiDi,40.703709001531294,-74.01152898481944,Stone,385,10004.0,Manhattan,NY,Gym / Fitness Center
514,648,Manhattan,Financial District,40.707107107270524,-74.01066544521277,CrossFit Wall Street,40.70974343802443,-74.00658379822491,111 Fulton St,452,10038.0,Manhattan,NY,Gym / Fitness Center
515,649,Manhattan,Financial District,40.707107107270524,-74.01066544521277,Oculus Crossfit,40.70977302010993,-74.00655014365609,151 William St,456,10038.0,Manhattan,NY,Gym / Fitness Center
517,651,Queens,Astoria,40.768508593354966,-73.9156537430424,CrossFit Queens,40.76940404539832,-73.91897736979166,25-50 31st St,297,11102.0,Queens,NY,Gym
535,678,Queens,Long Island City,40.750217346105316,-73.93920223915512,CrossFit LIC - Noskov Fitness,40.74979439698375,-73.94735552127254,1305 44th Ave,689,11101.0,Queens,NY,Gym
537,680,Queens,Long Island City,40.750217346105316,-73.93920223915512,CrossFit Bell/Bayside Barbell,40.753070194034606,-73.9293165129859,37-22 34th St,892,11101.0,Queens,NY,Gym
539,683,Queens,Long Island City,40.750217346105316,-73.93920223915512,Crossfit Dutch Kills,40.753802,-73.932102,,719,11101.0,Queens,NY,Gym / Fitness Center
556,704,Queens,Ridgewood,40.70832315613862,-73.90143517559595,CrossFit Ridgewood,40.71171,-73.89976999999999,63-49 60th Pl,402,11385.0,Queens,NY,Gym / Fitness Center
557,705,Queens,Ridgewood,40.70832315613862,-73.90143517559595,Crossfit Bridge and Tunnel,40.695450592003716,-73.90079651038306,,1433,11385.0,Queens,NY,Gym
