,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
47,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,CrossFit LIC - Noskov Fitness,40.74979439698375,-73.94735552127253,Gym
48,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Equinox Columbus Circle,40.76874192651226,-73.98214593908337,Gym
49,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Crossfit NYC - Upper West Side,40.77441561462417,-73.98109653863574,Gym
50,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,NEO FIFTH,40.750530813681124,-73.98329206512332,Gym
51,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Mercedes Club,40.76759458807264,-73.99207002674365,Gym / Fitness Center
52,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,CrossFit SPOT,40.77215092116481,-73.98610786931728,Gym / Fitness Center
53,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Crossfit Metropolis,40.78820597637237,-73.94869510882322,Gym
54,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Crossfit Concrete Jungle,40.782758706068456,-73.94729157655303,Gym
55,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,EVF Columbus Circle,40.77150979949672,-73.98973676700084,Recreation Center
56,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Reebok FitHub,40.75075696,-73.98324847,Shoe Store
57,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,CrossFit Bell/Bayside Barbell,40.753070194034606,-73.9293165129859,Gym
58,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Mid-City Gym & Tanning,40.75810868499696,-73.9917226956553,Gym
59,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Crossfit Dutch Kills,40.753802,-73.932102,Gym / Fitness Center
60,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,UWS CrossFit,40.77898642336577,-73.98508910271165,Athletics & Sports
61,Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766,Crossfit Fifth Ave,40.750642,-73.983243,Gym
62,Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962,CrossFit Gantry,40.74612457212019,-73.9522352960643,Gym / Fitness Center
63,Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962,CrossFit LIC - Noskov Fitness,40.74979439698375,-73.94735552127253,Gym
64,Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962,Crossfit Greenpoint,40.73611274835637,-73.9519963753644,Gym / Fitness Center
65,Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962,Equinox Columbus Circle,40.76874192651226,-73.98214593908337,Gym
66,Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962,CrossFit Queens,40.76940404539832,-73.91897736979166,Gym
